freq	phase(S(3,1))
8.30831660000000127E8	-7.63643055958432804E1
8.35836670000000126E8	-7.67532013710579974E1
8.40841680000000125E8	-7.71418900872368418E1
8.45846690000000123E8	-7.75303883569272934E1
8.50851699999999944E8	-7.79187128591087497E1
8.55856710000000120E8	-7.83068803390864598E1
8.60861719999999941E8	-7.86949076087455257E1
8.65866730000000118E8	-7.90828115466321435E1
8.70871739999999939E8	-7.94706090981436652E1
8.75876750000000115E8	-7.98583172757476056E1
8.80881760000000114E8	-8.02459531592898045E1
8.85886769999999935E8	-8.06335338961796388E1
8.90891779999999933E8	-8.10210767017910882E1
8.95896790000000109E8	-8.14085988597609855E1
9.00901800000000108E8	-8.17961177223439329E1
9.05906810000000107E8	-8.21836507108632475E1
9.10911820000000105E8	-8.25712153160420037E1
9.15916830000000104E8	-8.29588290984783683E1
9.20921840000000103E8	-8.33465096891088031E1
9.25926850000000101E8	-8.37342747896735951E1
9.30931860000000100E8	-8.41221421731694541E1
9.35936869999999921E8	-8.45101296843724015E1
9.40941880000000097E8	-8.48982552403402302E1
9.45946889999999918E8	-8.52865368308949279E1
9.50951900000000094E8	-8.56749925192328199E1
9.55956909999999915E8	-8.60636404423422618E1
9.60961920000000092E8	-8.64524988116029114E1
9.65966929999999913E8	-8.68415859133122936E1
9.70971940000000089E8	-8.72309201091726472E1
9.75976949999999910E8	-8.76205198368217353E1
9.80981959999999908E8	-8.80104036103695897E1
9.85986969999999907E8	-8.84005900209353257E1
9.90991980000000083E8	-8.87910977370416532E1
9.95996990000000082E8	-8.91819455051495957E1
1.00100200000000017E9	-8.95731521501496175E1
1.00600701000000003E9	-8.99647365757536832E1
1.01101201999999990E9	-9.03567178560058082E1
1.01601702999999999E9	-9.07491148713229556E1
1.02102204000000008E9	-9.11419468553699375E1
1.02602705000000016E9	-9.15352330310779294E1
1.03103206000000003E9	-9.19289927019706354E1
1.03603706999999989E9	-9.23232452524309721E1
1.04104207999999998E9	-9.27180101479416230E1
1.04604709000000007E9	-9.31133069351639442E1
1.05105210000000016E9	-9.35091552421556393E1
1.05605710999999980E9	-9.39055747783462991E1
1.06106211999999989E9	-9.43025853345662668E1
1.06606712999999997E9	-9.47002067829933836E1
1.07107214000000006E9	-9.50984590770105953E1
1.07607714999999993E9	-9.54973622509861464E1
1.08108216000000001E9	-9.58969364200506114E1
1.08608717000000010E9	-9.62972017796584900E1
1.09109217999999997E9	-9.66981786052891223E1
1.09609719000000005E9	-9.70998872517361455E1
1.10110220000000014E9	-9.75023481526328517E1
1.10610720999999979E9	-9.79055818196476224E1
1.11111222000000009E9	-9.83096088417179814E1
1.11611722999999996E9	-9.87144498840309303E1
1.12112224000000005E9	-9.91201256870605008E1
1.12612725000000014E9	-9.95266570653253879E1
1.13113225999999978E9	-9.99340649060986053E1
1.13613727000000009E9	-1.00342370168012107E2
1.14114227999999995E9	-1.00751593879428003E2
1.14614729000000004E9	-1.01161757136702546E2
1.15115230000000013E9	-1.01572881102373058E2
1.15615730999999999E9	-1.01984987003078653E2
1.16116232000000008E9	-1.02398096127290694E2
1.16616732999999995E9	-1.02812229823088863E2
1.17117234000000003E9	-1.03227409495396527E2
1.17617735000000012E9	-1.03643656603414458E2
1.18118235999999999E9	-1.04060992657495444E2
1.18618737000000007E9	-1.04479439216141556E2
1.19119237999999994E9	-1.04899017882497492E2
1.19619739000000003E9	-1.05319750300841664E2
1.20120240000000011E9	-1.05741658152700380E2
1.20620740999999998E9	-1.06164763152809960E2
1.21121242000000007E9	-1.06589087044819197E2
1.21621742999999993E9	-1.07014651596676424E2
1.22122244000000002E9	-1.07441478595785056E2
1.22622744999999989E9	-1.07869589843878733E2
1.23123245999999997E9	-1.08299007151706550E2
1.23623747000000006E9	-1.08729752333158114E2
1.24124247999999993E9	-1.09161847199449946E2
1.24624749000000001E9	-1.09595313552661633E2
1.25125250000000010E9	-1.10030173179110635E2
1.25625750999999997E9	-1.10466447842474436E2
1.26126252000000005E9	-1.10904159276313186E2
1.26626752999999992E9	-1.11343329176452066E2
1.27127254000000001E9	-1.11783979192973737E2
1.27627755000000009E9	-1.12226130921710676E2
1.28128256000000018E9	-1.12669805895462116E2
1.28628757000000005E9	-1.13115025574830419E2
1.29129257999999991E9	-1.13561811338491725E2
1.29629759000000000E9	-1.14010184473282328E2
1.30130260000000009E9	-1.14460166163661548E2
1.30630760999999973E9	-1.14911777480839894E2
1.31131262000000004E9	-1.15365039371445066E2
1.31631762999999991E9	-1.15819972645704983E2
1.32132264000000021E9	-1.16276597965180639E2
1.32632764999999986E9	-1.16734935830045039E2
1.33133265999999995E9	-1.17195006565901960E2
1.33633766999999981E9	-1.17656830310003402E2
1.34134268000000012E9	-1.18120426997135231E2
1.34634768999999999E9	-1.18585816344842754E2
1.35135270000000007E9	-1.19053017838300068E2
1.35635770999999994E9	-1.19522050714505523E2
1.36136272000000003E9	-1.19992933946128977E2
1.36636772999999989E9	-1.20465686224644242E2
1.37137273999999998E9	-1.20940325943130955E2
1.37637775000000007E9	-1.21416871178419283E2
1.38138275999999993E9	-1.21895339672780212E2
1.38638777000000002E9	-1.22375748814984919E2
1.39139277999999988E9	-1.22858115621000463E2
1.39639779000000042E9	-1.23342456713959225E2
