freq	dB(S(4,1))
6.00601200000000013E8	-7.37890309059966754E0
6.05606210000000011E8	-7.39311664806276525E0
6.10611220000000010E8	-7.40726683609889935E0
6.15616230000000009E8	-7.42135170217197437E0
6.20621240000000007E8	-7.43536932573138554E0
6.25626250000000006E8	-7.44931781816518956E0
6.30631260000000005E8	-7.46319532271018549E0
6.35636270000000003E8	-7.47700001438412798E0
6.40641280000000091E8	-7.49073009990788030E0
6.45646290000000000E8	-7.50438381761444528E0
6.50651300000000088E8	-7.51795943736750161E0
6.55656309999999998E8	-7.53145526046314018E0
6.60661320000000085E8	-7.54486961955621016E0
6.65666329999999995E8	-7.55820087854644207E0
6.70671340000000082E8	-7.57144743250180241E0
6.75676349999999992E8	-7.58460770755745450E0
6.80681359999999991E8	-7.59768016083118614E0
6.85686369999999989E8	-7.61066328031223094E0
6.90691379999999988E8	-7.62355558478796702E0
6.95696389999999987E8	-7.63635562374801857E0
7.00701400000000074E8	-7.64906197728388015E0
7.05706409999999984E8	-7.66167325602855609E0
7.10711420000000071E8	-7.67418810104297400E0
7.15716429999999981E8	-7.68660518375316393E0
7.20721440000000069E8	-7.69892320587129220E0
7.25726449999999979E8	-7.71114089931894231E0
7.30731459999999977E8	-7.72325702616511833E0
7.35736470000000065E8	-7.73527037854351462E0
7.40741480000000063E8	-7.74717977861836538E0
7.45746490000000062E8	-7.75898407851211225E0
7.50751499999999972E8	-7.77068216026548697E0
7.55756509999999970E8	-7.78227293579083046E0
7.60761520000000058E8	-7.79375534684381943E0
7.65766530000000056E8	-7.80512836498724827E0
7.70771540000000055E8	-7.81639099157344397E0
7.75776549999999965E8	-7.82754225772940337E0
7.80781559999999963E8	-7.83858122434900739E0
7.85786569999999962E8	-7.84950698210273146E0
7.90791579999999961E8	-7.86031865143418074E0
7.95796590000000226E8	-7.87101538259819211E0
8.00801600000000136E8	-7.88159635567307326E0
8.05806609999999957E8	-7.89206078060993654E0
8.10811619999999955E8	-7.90240789727686543E0
8.15816630000000131E8	-7.91263697551838430E0
8.20821640000000130E8	-7.92274731522289777E0
8.25826650000000129E8	-7.93273824640848080E0
8.30831660000000127E8	-7.94260912930611163E0
8.35836670000000126E8	-7.95235935447118703E0
8.40841680000000125E8	-7.96198834289385360E0
8.45846690000000123E8	-7.97149554612237221E0
8.50851699999999944E8	-7.98088044641401417E0
8.55856710000000120E8	-7.99014255687458341E0
8.60861719999999941E8	-7.99928142163444189E0
8.65866730000000118E8	-8.00829661602304910E0
8.70871739999999939E8	-8.01718774676246859E0
8.75876750000000115E8	-8.02595445217456671E0
8.80881760000000114E8	-8.03459640240757800E0
8.85886769999999935E8	-8.04311329966519395E0
8.90891779999999933E8	-8.05150487846685614E0
8.95896790000000109E8	-8.05977090591033196E0
9.00901800000000108E8	-8.06791118195669199E0
9.05906810000000107E8	-8.07592553973369753E0
9.10911820000000105E8	-8.08381384584738072E0
9.15916830000000104E8	-8.09157600071895011E0
9.20921840000000103E8	-8.09921193893657509E0
9.25926850000000101E8	-8.10672162962449860E0
9.30931860000000100E8	-8.11410507682846216E0
9.35936869999999921E8	-8.12136231992270652E0
9.40941880000000097E8	-8.12849343403507163E0
9.45946889999999918E8	-8.13549853048841953E0
9.50951900000000094E8	-8.14237775727034219E0
9.55956909999999915E8	-8.14913129950931925E0
9.60961920000000092E8	-8.15575937998510447E0
9.65966929999999913E8	-8.16226225965175090E0
9.70971940000000089E8	-8.16864023818285112E0
9.75976949999999910E8	-8.17489365454074424E0
9.80981959999999908E8	-8.18102288756693063E0
9.85986969999999907E8	-8.18702835659822803E0
9.90991980000000083E8	-8.19291052209657877E0
9.95996990000000082E8	-8.19866988631126858E0
1.00100200000000017E9	-8.20430699396467666E0
1.00600701000000003E9	-8.20982243295673797E0
1.01101201999999990E9	-8.21521683509842759E0
1.01601702999999999E9	-8.22049087686835023E0
1.02102204000000008E9	-8.22564528019630359E0
1.02602705000000016E9	-8.23068081327463297E0
1.03103206000000003E9	-8.23559829139129462E0
1.03603706999999989E9	-8.24039857779361462E0
1.04104207999999998E9	-8.24508258458057774E0
1.04604709000000007E9	-8.24965127361739725E0
1.05105210000000016E9	-8.25410565748686587E0
1.05605710999999980E9	-8.25844680046222734E0
1.06106211999999989E9	-8.26267581951350927E0
1.06606712999999997E9	-8.26679388534281401E0
1.07107214000000006E9	-8.27080222344941873E0
1.07607714999999993E9	-8.27470211522554777E0
1.08108216000000001E9	-8.27849489908581937E0
1.08608717000000010E9	-8.28218197162350300E0
1.09109217999999997E9	-8.28576478880800238E0
1.09609719000000005E9	-8.28924486720123355E0
1.10110220000000014E9	-8.29262378522243182E0
1.10610720999999979E9	-8.29590318443453612E0
1.11111222000000009E9	-8.29908477087352381E0
1.11611722999999996E9	-8.30217031640396641E0
1.12112224000000005E9	-8.30516166011819656E0
1.12612725000000014E9	-8.30806070976351663E0
1.13113225999999978E9	-8.31086944320878551E0
1.13613727000000009E9	-8.31358990994945657E0
1.14114227999999995E9	-8.31622423264280286E0
1.14614729000000004E9	-8.31877460868555474E0
1.15115230000000013E9	-8.32124331182828314E0
1.15615730999999999E9	-8.32363269382554805E0
1.16116232000000008E9	-8.32594518612299694E0
1.16616732999999995E9	-8.32818330159034481E0
1.17117234000000003E9	-8.33034963628057312E0
1.17617735000000012E9	-8.33244687124155803E0
1.18118235999999999E9	-8.33447777435427817E0
1.18618737000000007E9	-8.33644520222183871E0
1.19119237999999994E9	-8.33835210208745892E0
1.19619739000000003E9	-8.34020151380161856E0
1.20120240000000011E9	-8.34199657181996024E0
1.20620740999999998E9	-8.34374050724916572E0
1.21121242000000007E9	-8.34543664992764356E0
1.21621742999999993E9	-8.34708843054756855E0
1.22122244000000002E9	-8.34869938281489254E0
1.22622744999999989E9	-8.35027314565264867E0
1.23123245999999997E9	-8.35181346544157321E0
1.23623747000000006E9	-8.35332419829736494E0
1.24124247999999993E9	-8.35480931239379032E0
1.24624749000000001E9	-8.35627289031645049E0
1.25125250000000010E9	-8.35771913145982737E0
1.25625750999999997E9	-8.35915235446263161E0
1.26126252000000005E9	-8.36057699967566492E0
1.26626752999999992E9	-8.36199763167012478E0
1.27127254000000001E9	-8.36341894178185541E0
1.27627755000000009E9	-8.36484575068880964E0
1.28128256000000018E9	-8.36628301102347471E0
1.28628757000000005E9	-8.36773581001981093E0
1.29129257999999991E9	-8.36920937219019123E0
1.29629759000000000E9	-8.37070906203616616E0
1.30130260000000009E9	-8.37224038678738935E0
1.30630760999999973E9	-8.37380899916864863E0
1.31131262000000004E9	-8.37542070019749474E0
1.31631762999999991E9	-8.37708144200225213E0
1.32132264000000021E9	-8.37879733066846555E0
1.32632764999999986E9	-8.38057462910569484E0
1.33133265999999995E9	-8.38241975993572375E0
1.33633766999999981E9	-8.38433930839636510E0
1.34134268000000012E9	-8.38634002526596412E0
1.34634768999999999E9	-8.38842882979760773E0
1.35135270000000007E9	-8.39061281266854309E0
1.35635770999999994E9	-8.39289923893584522E0
1.36136272000000003E9	-8.39529555100142488E0
1.36636772999999989E9	-8.39780937157801866E0
1.37137273999999998E9	-8.40044850665975851E0
1.37637775000000007E9	-8.40322094848679058E0
1.38138275999999993E9	-8.40613487850931307E0
1.38638777000000002E9	-8.40919867033891499E0
1.39139277999999988E9	-8.41242089269288407E0
1.39639779000000042E9	-8.41581031231852528E0
1.40140280000000006E9	-8.41937589690519061E0
1.40640780999999992E9	-8.42312681796893692E0
1.41141282000000001E9	-8.42707245371340719E0
1.41641782999999988E9	-8.43122239186196154E0
1.42142284000000019E9	-8.43558643245539486E0
