#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
1.5120000000000	-4.5055532922358
1.5140000000000	-4.5258334581704
1.5160000000000	-4.5462762942026
1.5180000000000	-4.5668828833660
1.5200000000000	-4.5876543145205
1.5220000000000	-4.6085916823013
1.5240000000000	-4.6296960870637
1.5260000000000	-4.6509686348255
1.5280000000000	-4.6724104372065
1.5300000000000	-4.6940226113644
1.5320000000000	-4.7158062799281
1.5340000000000	-4.7377625709273
1.5360000000000	-4.7598926177190
1.5380000000000	-4.7821975589114
1.5400000000000	-4.8046785382830
1.5420000000000	-4.8273367046999
1.5440000000000	-4.8501732120290
1.5460000000000	-4.8731892190474
1.5480000000000	-4.8963858893494
1.5500000000000	-4.9197643912487
1.5520000000000	-4.9433258976783
1.5540000000000	-4.9670715860862
1.5560000000000	-4.9910026383277
1.5580000000000	-5.0151202405539
1.5600000000000	-5.0394255830973
1.5620000000000	-5.0639198603530
1.5640000000000	-5.0886042706567
1.5660000000000	-5.1134800161592
1.5680000000000	-5.1385483026969
1.5700000000000	-5.1638103396593
1.5720000000000	-5.1892673398524
1.5740000000000	-5.2149205193584
1.5760000000000	-5.2407710973928
1.5780000000000	-5.2668202961568
1.5800000000000	-5.2930693406867
1.5820000000000	-5.3195194587004
1.5840000000000	-5.3461718804393
1.5860000000000	-5.3730278385081
1.5880000000000	-5.4000885677099
1.5900000000000	-5.4273553048796
1.5920000000000	-5.4548292887128
1.5940000000000	-5.4825117595923
1.5960000000000	-5.5104039594112
1.5980000000000	-5.5385071313933
1.6000000000000	-5.5668225199105
1.6020000000000	-5.5953513702977
1.6040000000000	-5.6240949286644
1.6060000000000	-5.6530544417048
1.6080000000000	-5.6822311565046
1.6100000000000	-5.7116263203458
1.6120000000000	-5.7412411805099
1.6140000000000	-5.7710769840785
1.6160000000000	-5.8011349777321
1.6180000000000	-5.8314164075482
1.6200000000000	-5.8619225187966
1.6220000000000	-5.8926545557349
1.6240000000000	-5.9236137614017
1.6260000000000	-5.9548013774097
1.6280000000000	-5.9862186437384
1.6300000000000	-6.0178667985260
1.6320000000000	-6.0497470778610
1.6340000000000	-6.0818607155750
1.6360000000000	-6.1142089430347
1.6380000000000	-6.1467929889356
1.6400000000000	-6.1796140790963
1.6420000000000	-6.2126734362537
1.6440000000000	-6.2459722798612
1.6460000000000	-6.2795118258873
1.6480000000000	-6.3132932866177
1.6500000000000	-6.3473178704592
1.6520000000000	-6.3815867817479
1.6540000000000	-6.4161012205592
1.6560000000000	-6.4508623825234
1.6580000000000	-6.4858714586438
1.6600000000000	-6.5211296351214
1.6620000000000	-6.5566380931827
1.6640000000000	-6.5923980089148
1.6660000000000	-6.6284105531054
1.6680000000000	-6.6646768910901
1.6700000000000	-6.7011981826056
1.6720000000000	-6.7379755816518
1.6740000000000	-6.7750102363608
1.6760000000000	-6.8123032888747
1.6780000000000	-6.8498558752330
1.6800000000000	-6.8876691252687
1.6820000000000	-6.9257441625150
1.6840000000000	-6.9640821041234
1.6860000000000	-7.0026840607915
1.6880000000000	-7.0415511367045
1.6900000000000	-7.0806844294882
1.6920000000000	-7.1200850301749
1.6940000000000	-7.1597540231839
1.6960000000000	-7.1996924863159
1.6980000000000	-7.2399014907623
1.7000000000000	-7.2803821011303
1.7020000000000	-7.3211353754847
1.7040000000000	-7.3621623654058
1.7060000000000	-7.4034641160662
1.7080000000000	-7.4450416663244
1.7100000000000	-7.4868960488392
1.7120000000000	-7.5290282902019
1.7140000000000	-7.5714394110907
1.7160000000000	-7.6141304264449
1.7180000000000	-7.6571023456613
1.7200000000000	-7.7003561728137
1.7220000000000	-7.7438929068942
1.7240000000000	-7.7877135420800
1.7260000000000	-7.8318190680235
1.7280000000000	-7.8762104701687
1.7300000000000	-7.9208887300927
1.7320000000000	-7.9658548258745
1.7340000000000	-8.0111097324911
1.7360000000000	-8.0566544222414
1.7380000000000	-8.1024898651993
1.7400000000000	-8.1486170296955
1.7420000000000	-8.1950368828305
1.7440000000000	-8.2417503910173
1.7460000000000	-8.2887585205559
1.7480000000000	-8.3360622382402
1.7500000000000	-8.3836625119972
1.7520000000000	-8.4315603115592
1.7540000000000	-8.4797566091708
1.7560000000000	-8.5282523803298
1.7580000000000	-8.5770486045630
1.7600000000000	-8.6261462662379
