level	number	indep(index, 1)	PAE_contours[0, 0, ::]
3.63773793018164948E1	3	49	6.18485247041585318E-1 / 9.42239686912369834E1
3.63773793018164948E1	3	50	6.18493567883419892E-1 / 9.42253366210463383E1
3.63773793018164948E1	3	51	6.18501755815016097E-1 / 9.42267026926418438E1
3.63773793018164948E1	3	52	6.18509808199709354E-1 / 9.42280672243607853E1
3.63773793018164948E1	3	53	6.18517722401163095E-1 / 9.42294305345448713E1
3.63773793018164948E1	3	54	6.18525495783368129E-1 / 9.42307929415410683E1
3.63773793018164948E1	3	55	6.18533125710643006E-1 / 9.42321547637021517E1
3.63773793018164948E1	3	56	6.18540609547631881E-1 / 9.42335163193874692E1
3.63773793018164948E1	3	57	6.18547944659305760E-1 / 9.42348779269635983E1
3.63773793018164948E1	3	58	6.18555128410961519E-1 / 9.42362399048051991E1
3.63773793018164948E1	3	59	6.18562158168222798E-1 / 9.42376025712956888E1
3.63773793018164948E1	3	60	6.18569031297039551E-1 / 9.42389662448280951E1
3.63773793018164948E1	3	61	6.18575745163689206E-1 / 9.42403312438058904E1
3.63773793018164948E1	3	62	6.18582297134777015E-1 / 9.42416978866438981E1
3.63773793018164948E1	3	63	6.18588684577237036E-1 / 9.42430664917690386E1
3.63773793018164948E1	3	64	6.18594904858333461E-1 / 9.42444373776214306E1
3.63773793018164948E1	3	65	6.18600955345661596E-1 / 9.42458108626551549E1
3.63773793018164948E1	3	66	6.18606833407149193E-1 / 9.42471872653393561E1
3.63773793018164948E1	3	67	6.18612536411058933E-1 / 9.42485669041591834E1
3.63773793018164948E1	3	68	6.18618061725989321E-1 / 9.42499500976167859E1
3.63773793018164948E1	3	69	6.18623406720877433E-1 / 9.42513371642324493E1
3.63773793018164948E1	3	70	6.18628568765000253E-1 / 9.42527284225455908E1
3.63773793018164948E1	3	71	6.18633545227978754E-1 / 9.42541241911158423E1
3.63773793018164948E1	3	72	6.18638333479778879E-1 / 9.42555247885243297E1
3.63773793018164948E1	3	73	6.18642930890714737E-1 / 9.42569305333746321E1
3.63773793018164948E1	3	74	6.18647334831452600E-1 / 9.42583417442941496E1
3.63773793018164948E1	3	75	6.18651542673012944E-1 / 9.42597587399351511E1
3.63773793018164948E1	3	76	6.18655551786774005E-1 / 9.42611818389761780E1
3.63773793018164948E1	3	77	6.18659359544476484E-1 / 9.42626113601231452E1
3.63773793018164948E1	3	78	6.18662963318225589E-1 / 9.42640476221107981E1
3.63773793018164948E1	3	79	6.18666360480496280E-1 / 9.42654909437039024E1
3.63773793018164948E1	3	80	6.18669548404137348E-1 / 9.42669416436986474E1
3.63773793018164948E1	3	81	6.18672524462374884E-1 / 9.42684000409240141E1
3.63773793018164948E1	3	82	6.18675286028817961E-1 / 9.42698664542431963E1
3.63773793018164948E1	3	83	6.18677830477462187E-1 / 9.42713412025550035E1
3.63773793018164948E1	3	84	6.18680155182695657E-1 / 9.42728246047953533E1
3.63773793018164948E1	3	85	6.18682257519303924E-1 / 9.42743169799386749E1
3.63773793018164948E1	3	86	6.18684134862474799E-1 / 9.42758186469995074E1
3.63773793018164948E1	3	87	6.18685784587803944E-1 / 9.42773299250340102E1
3.63773793018164948E1	3	88	6.18687204071301178E-1 / 9.42788511331415080E1
3.63773793018164948E1	3	89	6.18688390689395895E-1 / 9.42803825904660897E1
3.63773793018164948E1	3	90	6.18689341818942840E-1 / 9.42819246161982605E1
3.63773793018164948E1	3	91	6.18690054837229297E-1 / 9.42834775295765404E1
3.63773793018164948E1	3	92	6.18690527121980605E-1 / 9.42850416498891875E1
3.63773793018164948E1	3	93	6.18690756051367696E-1 / 9.42866172964758498E1
3.63773793018164948E1	3	94	6.18690739004013324E-1 / 9.42882047887293240E1
3.63773793018164948E1	3	95	6.18690473358998982E-1 / 9.42898044460972784E1
3.63773793018164948E1	3	96	6.18689956495872728E-1 / 9.42914165880841182E1
3.63773793018164948E1	3	97	6.18689185794656815E-1 / 9.42930415342527084E1
