level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.33468600367363432E1	2	76	4.40787196184047847E-1 / 1.11746871773718404E2
1.33468600367363432E1	2	77	4.40594030377754642E-1 / 1.11771151516115408E2
1.33468600367363432E1	2	78	4.40400344161544233E-1 / 1.11795283528640699E2
1.33468600367363432E1	2	79	4.40206205267362005E-1 / 1.11819259853541775E2
1.33468600367363432E1	2	80	4.40011681336168881E-1 / 1.11843072503106589E2
1.33468600367363432E1	2	81	4.39816839919509128E-1 / 1.11866713459780653E2
1.33468600367363432E1	2	82	4.39621748481169661E-1 / 1.11890174676307996E2
1.33468600367363432E1	2	83	4.39426474398929745E-1 / 1.11913448075896826E2
1.33468600367363432E1	2	84	4.39231084966405572E-1 / 1.11936525552408983E2
1.33468600367363432E1	2	85	4.39035647394985684E-1 / 1.11959398970574364E2
1.33468600367363432E1	2	86	4.38840228815862332E-1 / 1.11982060166230157E2
1.33468600367363432E1	2	87	4.38644896282156171E-1 / 1.12004500946584717E2
1.33468600367363432E1	2	88	4.38449716771137776E-1 / 1.12026713090506846E2
1.33468600367363432E1	2	89	4.38254757186544719E-1 / 1.12048688348840475E2
1.33468600367363432E1	2	90	4.38060084360995283E-1 / 1.12070418444744591E2
1.33468600367363432E1	2	91	4.37865765058500855E-1 / 1.12091895074059211E2
1.33468600367363432E1	2	92	4.37671865977074948E-1 / 1.12113109905697028E2
1.33468600367363432E1	2	93	4.37478453751442942E-1 / 1.12134054582061382E2
1.33468600367363432E1	2	94	4.37285594955849355E-1 / 1.12154720719490286E2
1.33468600367363432E1	2	95	4.37093356106967157E-1 / 1.12175099908727183E2
1.33468600367363432E1	2	96	4.36901803666905675E-1 / 1.12195183715418167E2
1.33468600367363432E1	2	97	4.36711004046321261E-1 / 1.12214963680636193E2
1.33468600367363432E1	2	98	4.36521023607628500E-1 / 1.12234431321432249E2
level	number	indep(index, 1)	GainTransducerContours[0, 2, ::]
1.33468600367363432E1	3	0	4.32132013118730729E-1 / 1.09348731360954021E2
1.33468600367363432E1	3	1	4.32317380798899631E-1 / 1.09354236204753152E2
1.33468600367363432E1	3	2	4.32504077358311889E-1 / 1.09359699564197999E2
1.33468600367363432E1	3	3	4.32692109759092247E-1 / 1.09365116688662001E2
1.33468600367363432E1	3	4	4.32881484950505424E-1 / 1.09370482836247751E2
1.33468600367363432E1	3	5	4.33072209869261648E-1 / 1.09375793273922683E2
1.33468600367363432E1	3	6	4.33264291439851412E-1 / 1.09381043277655854E2
1.33468600367363432E1	3	7	4.33457736574909624E-1 / 1.09386228132555252E2
1.33468600367363432E1	3	8	4.33652552175608808E-1 / 1.09391343133005892E2
1.33468600367363432E1	3	9	4.33848732750141508E-1 / 1.09396385044239008E2
1.33468600367363432E1	3	10	4.34046223276025245E-1 / 1.09401356482575762E2
1.33468600367363432E1	3	11	4.34244956359443623E-1 / 1.09406261523782677E2
1.33468600367363432E1	3	12	4.34444864618790128E-1 / 1.09411104240393620E2
1.33468600367363432E1	3	13	4.34645880684329011E-1 / 1.09415888701503872E2
1.33468600367363432E1	3	14	4.34847937197879997E-1 / 1.09420618972577377E2
1.33468600367363432E1	3	15	4.35050966812522244E-1 / 1.09425299115267660E2
1.33468600367363432E1	3	16	4.35254902192321502E-1 / 1.09429933187251538E2
1.33468600367363432E1	3	17	4.35459676012078312E-1 / 1.09434525242076353E2
1.33468600367363432E1	3	18	4.35665220957096899E-1 / 1.09439079329020039E2
1.33468600367363432E1	3	19	4.35871469722977078E-1 / 1.09443599492964427E2
1.33468600367363432E1	3	20	4.36078355015425778E-1 / 1.09448089774281487E2
1.33468600367363432E1	3	21	4.36285809550091930E-1 / 1.09452554208732389E2
1.33468600367363432E1	3	22	4.36493766052421872E-1 / 1.09456996827379616E2
1.33468600367363432E1	3	23	4.36702157257535983E-1 / 1.09461421656511559E2
1.33468600367363432E1	3	24	4.36910915910127340E-1 / 1.09465832717580036E2
1.33468600367363432E1	3	25	4.37119974764381602E-1 / 1.09470234027150548E2
1.33468600367363432E1	3	26	4.37329266583918130E-1 / 1.09474629596864803E2
