level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.86114672757377031E1	6	82	6.69921957985922134E-1 / 1.15294159527685136E2
1.86114672757377031E1	6	83	6.69615945022700565E-1 / 1.15319203938896164E2
1.86114672757377031E1	6	84	6.69307460656273800E-1 / 1.15345260366151381E2
1.86114672757377031E1	6	85	6.68996501149906209E-1 / 1.15372346481227872E2
1.86114672757377031E1	6	86	6.68683063764794472E-1 / 1.15400480013345241E2
1.86114672757377031E1	6	87	6.68367146796098588E-1 / 1.15429678749962505E2
1.86114672757377031E1	6	88	6.68048749609658721E-1 / 1.15459960537562645E2
1.86114672757377031E1	6	89	6.67727872679401369E-1 / 1.15491343282423164E2
1.86114672757377031E1	6	90	6.67404517625442395E-1 / 1.15523844951371091E2
1.86114672757377031E1	6	91	6.67078687252891545E-1 / 1.15557483572520470E2
1.86114672757377031E1	6	92	6.66750385591361727E-1 / 1.15592277235991281E2
1.86114672757377031E1	6	93	6.66419617935190534E-1 / 1.15628244094606702E2
1.86114672757377031E1	6	94	6.66086390884379753E-1 / 1.15665402364568282E2
1.86114672757377031E1	6	95	6.65750712386255294E-1 / 1.15703770326105726E2
1.86114672757377031E1	6	96	6.65412591777856477E-1 / 1.15743366324099917E2
1.86114672757377031E1	6	97	6.65072039829057005E-1 / 1.15784208768676788E2
1.86114672757377031E1	6	98	6.64729068786423305E-1 / 1.15826316135769880E2

level	number	indep(index, 1)	GainTransducerContours[0, 6, ::]
1.86114672757377031E1	7	0	6.64729068786423305E-1 / 1.15826316135769880E2
1.86114672757377031E1	7	1	6.64035926057751524E-1 / 1.15914399873412144E2

level	number	indep(index, 1)	GainTransducerContours[0, 7, ::]
1.86114672757377031E1	8	0	6.88044535591818995E-1 / 1.15089048398607163E2
1.86114672757377031E1	8	1	6.87884646615272821E-1 / 1.15087352567921175E2
1.86114672757377031E1	8	2	6.87723797801159975E-1 / 1.15085343717757072E2
1.86114672757377031E1	8	3	6.87561968910914345E-1 / 1.15083037158669632E2
1.86114672757377031E1	8	4	6.87399139733639952E-1 / 1.15080448212785447E2
1.86114672757377031E1	8	5	6.87235290076741734E-1 / 1.15077592213951596E2
1.86114672757377031E1	8	6	6.87070399757047312E-1 / 1.15074484507894192E2
1.86114672757377031E1	8	7	6.86904448592423744E-1 / 1.15071140452386023E2
1.86114672757377031E1	8	8	6.86737416393888278E-1 / 1.15067575417423873E2
1.86114672757377031E1	8	9	6.86569282958214711E-1 / 1.15063804785415336E2
1.86114672757377031E1	8	10	6.86400028061035705E-1 / 1.15059843951374963E2
1.86114672757377031E1	8	11	6.86229631450440269E-1 / 1.15055708323130101E2
1.86114672757377031E1	8	12	6.86058072841070032E-1 / 1.15051413321536145E2
1.86114672757377031E1	8	13	6.85885331908710683E-1 / 1.15046974380701572E2
1.86114672757377031E1	8	14	6.85711388285383805E-1 / 1.15042406948222498E2
1.86114672757377031E1	8	15	6.85536221554936454E-1 / 1.15037726485426939E2
1.86114672757377031E1	8	16	6.85359811249129702E-1 / 1.15032948467628948E2
1.86114672757377031E1	8	17	6.85182136844228928E-1 / 1.15028088384392535E2
1.86114672757377031E1	8	18	6.85003177758093962E-1 / 1.15023161739805646E2
1.86114672757377031E1	8	19	6.84822913347770346E-1 / 1.15018184052763939E2
1.86114672757377031E1	8	20	6.84641322907585170E-1 / 1.15013170857264901E2
1.86114672757377031E1	8	21	6.84458385667743219E-1 / 1.15008137702711988E2
1.86114672757377031E1	8	22	6.84274080793429285E-1 / 1.15003100154229232E2
1.86114672757377031E1	8	23	6.84088387384414265E-1 / 1.14998073792986166E2
1.86114672757377031E1	8	24	6.83901284475166982E-1 / 1.14993074216533153E2
1.86114672757377031E1	8	25	6.83712751035473243E-1 / 1.14988117039147575E2
1.86114672757377031E1	8	26	6.83522765971561252E-1 / 1.14983217892190392E2
1.86114672757377031E1	8	27	6.83331308127736925E-1 / 1.14978392424473874E2
1.86114672757377031E1	8	28	6.83138356288527060E-1 / 1.14973656302639959E2
1.86114672757377031E1	8	29	6.82943889181333752E-1 / 1.14969025211549836E2
1.86114672757377031E1	8	30	6.82747885479600747E-1 / 1.14964514854684463E2
1.86114672757377031E1	8	31	6.82550323806491299E-1 / 1.14960140954556556E2
1.86114672757377031E1	8	32	6.82351182739080464E-1 / 1.14955919253133709E2
1.86114672757377031E1	8	33	6.82150440813062975E-1 / 1.14951865512272899E2
1.86114672757377031E1	8	34	6.81948076527974845E-1 / 1.14947995514166790E2
1.86114672757377031E1	8	35	6.81744068352935795E-1 / 1.14944325061801300E2
