time	ts(Vload)
3.26704545454545414E-10	8.80785450011421922E0
3.30255681818181746E-10	9.07797305967952362E0
3.33806818181818254E-10	9.32865085218545964E0
3.37357954545454586E-10	9.55898407217522106E0
3.40909090909090917E-10	9.76800554380691644E0
3.44460227272727337E-10	9.95473553492533370E0
3.48011363636363669E-10	1.01182337065104178E1
3.51562500000000044E-10	1.02576465739734091E1
3.55113636363636420E-10	1.03722458067825096E1
3.58664772727272707E-10	1.04614541523705173E1
3.62215909090909127E-10	1.05248575260341681E1
3.65767045454545414E-10	1.05622036193586810E1
3.69318181818181834E-10	1.05733890093863359E1
3.72869318181818166E-10	1.05584379991832700E1
3.76420454545454586E-10	1.05174771485690965E1
3.79971590909090873E-10	1.04507095991708732E1
3.83522727272727160E-10	1.03583928795306557E1
3.87073863636363669E-10	1.02408229872428969E1
3.90625000000000000E-10	1.00983263376675980E1
3.94176136363636465E-10	9.93125982879900526E0
3.97727272727272840E-10	9.74001799281551151E0
4.01278409090909083E-10	9.52504516061447859E0
4.04829545454545414E-10	9.28684988787665766E0
4.08380681818181746E-10	9.02601865350743715E0
4.11931818181818166E-10	8.74322605235734684E0
4.15482954545454675E-10	8.43923931019447693E0
4.19034090909091006E-10	8.11491584481221651E0
4.22585227272727337E-10	7.77119364378463384E0
4.26136363636363669E-10	7.40907527482281392E0
4.29687499999999911E-10	7.02960724589371999E0
4.33238636363636509E-10	6.63385707409945535E0
4.36789772727272663E-10	6.22289073146685023E0
4.40340909090909083E-10	5.79775308794119848E0
4.43892045454545503E-10	5.35945359152705336E0
4.47443181818181746E-10	4.90895877910256306E0
4.50994318181818166E-10	4.44719239509977893E0
4.54545454545454586E-10	3.97504301954351202E0
4.58096590909090740E-10	3.49337828086264590E0
4.61647727272727337E-10	3.00306404559529705E0
4.65198863636363669E-10	2.50498650332270767E0
4.68750000000000000E-10	2.00007483538199526E0
4.72301136363636509E-10	1.48932217182030247E0
4.75852272727272663E-10	9.73802775707784107E-1
4.79403409090908994E-10	4.54683799412114809E-1
4.82954545454545414E-10	-6.67695255161564916E-2
4.86505681818181746E-10	-5.89195835489597552E-1
4.90056818181818254E-10	-1.11114672563424244E0
4.93607954545454497E-10	-1.63110247244614981E0
4.97159090909091006E-10	-2.14749343192411191E0
5.00710227272727160E-10	-2.65872579978853230E0
5.04261363636363669E-10	-3.16321015533162253E0
5.07812500000000000E-10	-3.65939103604482252E0
5.11363636363636331E-10	-4.14577570463828682E0
5.14914772727272840E-10	-4.62096027459846947E0
5.18465909090909083E-10	-5.08365146061205575E0
5.22017045454545414E-10	-5.53268242483999728E0
5.25568181818181834E-10	-5.96702150766613038E0
5.29119318181818343E-10	-6.38577306521036814E0
5.32670454545454586E-10	-6.78817017756491836E0
5.36221590909091006E-10	-7.17355961768571948E0
5.39772727272727337E-10	-7.54138013946674501E0
5.43323863636363402E-10	-7.89113579605954918E0
5.46875000000000089E-10	-8.22236656500202656E0
5.50426136363636331E-10	-8.53461896008967535E0
5.53977272727272663E-10	-8.82741948258101772E0
5.57528409090908994E-10	-9.10025365579577894E0
5.61079545454545325E-10	-9.35255297565066535E0
5.64630681818181746E-10	-9.58369140974483535E0
5.68181818181818254E-10	-9.79299214322342415E0
5.71732954545454586E-10	-9.97974419158640558E0
5.75284090909090828E-10	-1.01432273979583698E1
5.78835227272727160E-10	-1.02827433388262324E1
5.82386363636363757E-10	-1.03976489090319690E1
5.85937500000000000E-10	-1.04873889539386433E1
5.89488636363636509E-10	-1.05515243360940048E1
5.93039772727272663E-10	-1.05897522862476623E1
5.96590909090909083E-10	-1.06019167574431394E1
6.00142045454545325E-10	-1.05880076829037084E1
6.03693181818181834E-10	-1.05481493933312365E1
6.07244318181818254E-10	-1.04825798064642450E1
6.10795454545454586E-10	-1.03916231823566418E1
6.14346590909090828E-10	-1.02756600789380537E1
6.17897727272727160E-10	-1.01350985205326460E1
6.21448863636363757E-10	-9.97035024208035736E0
6.25000000000000000E-10	-9.78181519874524774E0
6.28551136363636331E-10	-9.56987641150356794E0
6.32102272727272663E-10	-9.33490579549821398E0
6.35653409090909172E-10	-9.07728007760801070E0
6.39204545454545414E-10	-8.79740446317537739E0
6.42755681818181657E-10	-8.49574056297553248E0
6.46306818181818166E-10	-8.17283440870165556E0
6.49857954545454586E-10	-7.82934027665107379E0
6.53409090909090828E-10	-7.46603653570858761E0
6.56960227272727337E-10	-7.08383078377178776E0
6.60511363636363491E-10	-6.68375300387267668E0
6.64062500000000089E-10	-6.26693716190269168E0
